T,RollA,PithA,RollG,PithG,RollFC,PitchFC
8912,-0.75,-87.14,0.84,-86.44,0.81,-86.46
8967,-0.51,-89.31,0.49,-86.47,0.47,-86.52
9022,-0.59,-88.43,0.46,-85.95,0.44,-86.00
9078,-0.23,-87.07,0.45,-82.98,0.44,-83.06
9133,-0.23,-85.67,0.47,-76.53,0.45,-76.71
9188,0.68,-76.72,0.53,-67.35,0.53,-67.54
9243,0.11,-73.65,0.60,-57.81,0.59,-58.13
9298,0.04,-42.37,0.68,-47.35,0.67,-47.25
9353,0.06,-49.10,0.70,-36.89,0.69,-37.14
9408,-3.31,-38.78,0.94,-30.47,0.85,-30.64
9464,-0.16,-28.25,0.88,-20.89,0.86,-21.04
9519,0.29,-18.49,0.88,-13.28,0.87,-13.39
9574,-0.23,-9.42,0.87,-5.51,0.85,-5.59
9629,5.81,1.65,0.91,-0.91,1.00,-0.86
9683,-0.40,-1.03,0.98,0.15,0.95,0.13
9737,-0.47,-0.26,0.93,0.48,0.90,0.46
9791,-0.24,0.41,0.91,0.49,0.89,0.48
9846,-0.08,-0.13,0.90,0.56,0.88,0.55
9900,0.06,-0.10,0.87,0.53,0.86,0.52
9954,-0.11,0.00,0.85,0.53,0.83,0.52
10008,0.07,-0.13,0.80,0.48,0.79,0.47
10064,-0.06,0.18,0.76,0.55,0.75,0.55
10119,-0.07,0.39,0.72,0.76,0.70,0.76
10174,0.57,-0.33,0.74,0.49,0.73,0.48
10230,-0.29,0.14,0.73,0.42,0.71,0.41
10285,-0.31,-0.18,0.71,0.39,0.69,0.38
10340,0.10,0.14,0.70,0.37,0.68,0.36
10395,-0.42,0.10,0.68,0.36,0.66,0.36
10450,0.04,-0.01,0.64,0.36,0.63,0.35
10505,0.00,0.00,0.63,0.35,0.62,0.34
10559,-0.24,-0.08,0.61,0.34,0.60,0.33
10614,0.08,0.20,0.60,0.33,0.59,0.33
10669,-0.14,-0.13,0.59,0.33,0.58,0.32
10724,0.11,-0.01,0.57,0.32,0.56,0.31
10779,-0.15,-0.29,0.56,0.31,0.55,0.30
10834,0.28,-0.52,0.55,0.30,0.55,0.28
10889,0.20,0.27,0.55,0.27,0.55,0.27
10944,-0.17,-0.01,0.55,0.28,0.54,0.27
